journal,ISSN
Военно-филологический,2782-2311
Военно-юридический журнал,2070-2108
Военный академический,2311-6668
Военный инженер,2500-1647
Воздушно-космические силы.,2500-4352
Воздушно-космическая сфера,2587-7992
Волгоградский научно-,2658-4514
Вооружение и экономика,2071-0151
Вопросы атомной науки и,2414-0171
Вопросы атомной науки и,0202-3822
Вопросы атомной науки и,1997-2830
Вопросы атомной науки и,0205-4671
Вопросы атомной науки и,2414-1038
Вопросы безопасности,2409-7543
"Вопросы биологической,",1560-9596
Вопросы всеобщей истории,2500-0616
Вопросы гематологии /,1726-1708
"Вопросы гинекологии,",1726-1678
Вопросы государственного и,1999-5431
Вопросы детской диетологии,1727-5784
Вопросы диетологии,2224-5448
Вопросы журналистики,2618-8422
"Вопросы журналистики,",2712-7451
Вопросы защиты информации –,2073-2600
Вопросы инновационной,2222-0372
Вопросы истории,0205-9606
Вопросы кибербезопасности,2311-3456
Вопросы когнитивной,1812-3228
"Вопросы курортологии,",0042-8787
Вопросы лексикографии,2227-4200
Вопросы материаловедения,1994-6716
Вопросы медиабизнеса,3034-1930
Вопросы методики,2227-8591
Вопросы наркологии,0234-0623
Вопросы национальных и,2226-8596
Вопросы нейрохирургии им.,0042-8817
Вопросы новой экономики,1994-0556
Вопросы нормативно-правового,2072-6023
Вопросы обеспечения качества,2309-6039
ВОПРОСЫ ОБОРОННОЙ,2306-1456
Вопросы образования,1814-9545
Вопросы онкологии,0507-3758
Вопросы ономастики,1994-2400
Вопросы питания,0042-8833
Вопросы политической,2412-9666
Вопросы политологии,2225-8922
"Вопросы права, экономики и",2949-5172
Вопросы практической,2782-6392
Вопросы практической,1817-7646
Вопросы прикладной,2306-1286
Вопросы психического,2305-9133
Вопросы психолингвистики,2077-5911
Вопросы радиационной,1816-9643
Вопросы радиоэлектроники,2218-5453
"Вопросы радиоэлектроники,",0492-5726
Вопросы региональной,2078-4023
Вопросы реконструктивной и,1814-1471
Вопросы российского и,2222-5129
Вопросы рыболовства,0234-2774
Вопросы современной,2949-5059
Вопросы современной науки и,1990-9047
Вопросы современной,1682-5527
Вопросы статистики,2313-6383
Вопросы степеведения,2712-8628
Вопросы театра. Proscaenium,0507-3952
Вопросы теологии,2658-5200
Вопросы теории и практики,2308-6203
Вопросы теоретической,2587-7666
Вопросы управления,2304-3369
Вопросы урологии и,2307-6631
Вопросы филологии,1562-1391
Вопросы экономики,0042-8736
Вопросы экономики и права,2072-5574
Вопросы электромеханики.,2500-1299
Вопросы электротехнологии,2309-6020
Вопросы ювенальной юстиции,2072-3695
Воронежский научно-,2311-8873
Воспитание и обучение детей с,2074-4986
Воспитание школьников,0130-0776
Восток. Афро-азиатские,0869-1908
Восточная Азия: факты и,2686-7702
Восточнославянская филология,1992-9196
Врач,0236-3054
Врач и информационные,1811-0193
Временник Зубовского,2221-8130
Всеобщая история,2307-1656
Все о мясе,2071-2499
Всероссийский,2500-4255
Всероссийский,2500-1442
Всероссийский научно-,2949-1134
Всероссийский научный,2073-5022
Всероссийский научный,2079-5505
Вспомогательные исторические,0130-0865
Высокотехнологическая,2542-1646
Высшее образование в России,0869-3617
Вычислительная механика,1999-6691
Вычислительные методы и,1726-3522
Вятский медицинский вестник,2220-7880
Газовая промышленность,0016-5581
Гальванотехника и обработка,0869-5326
Гасырлар авазы – Эхо веков,2073-7475
Гелиогеофизические,2304-7380
Генетика и разведение,2410-2733
Гений Ортопедии,1028-4427
Географический вестник,2079-7877
География в школе,0016-7207
Географическая среда и живые,2712-7613
Геодезия и картография,0016-7126
Геология и геофизика Юга,2221-3198
Геология нефти и газа,0016-7894
"Геология, география и",2077-6322
Геометрия и графика,2308-4898
Геополитика и экогеодинамика,2309-7663
Геориск,1997-8669
Геосистемы переходных зон,2541-8912
Геосферные исследования /,2542-1379
Геотехника,2221-5514
Геофизика,1681-4568
Геофизические исследования,1818-3735
Геоэкология. Инженерная,0869-7803
Гигиена и санитария,0016-9900
Гидроакустика/Hydroacoustics,1608-8182
Гидрометеорологические,2618-9631
Гидрометеорология и,2713-2102
Гидрометеорология и экология,2713-3001
ГИДРОТЕХНИКА,2227-8400
Гидротехническое,0016-9714
Гидросфера. Опасные процессы,2686-7877
Гинекология,2079-5696
Главный врач Юга России,2686-8733
Главный зоотехник,2074-7454
Глобальная энергия/ Global,2782-6724
Глобальный научный,1997-9355
Горение и взрыв,2305-9117
Горизонты экономики,2219-3650
Горная промышленность,1609-9192
Горное оборудование и,1816-4528
Горные науки и технологии,2500-0632
Горный журнал»,0017-2278
Горный информационно-,0236-1493
Госпитальная медицина: наука,2658-6681
Государственная власть и,1813-1247
Государственная служба,2070-8378
Государственная служба и,2312-0444
Государственное и,2079-1690
Государственное управление,2664-0651
Государственное управление.,2070-1381
Государственный аудит. Право.,2304-9103
Государственный советник,2308-9369
Государство и право,0132-0769
"Государство, религия, церковь в",2073-7203
Градостроительное право,2500-0292
Градостроительство и,2542-0151
Гражданин. Выборы. Власть.,2587-6449
Гражданское общество в,2221-3287
Гражданское право,2070-2140
Грозненский,2542-0496
Грудная и сердечно-сосудистая,0236-2791
Грузовик,1684-1298
Гуманизация образования,1029-3388
Гуманитарий Юга России,2227-8656
Гуманитарий: актуальные,2078-9823
Гуманитарно-педагогическое,2413-1180
Гуманитарные ведомости,2304-4742
Гуманитарные и социально-,1997-2377
Гуманитарные и социальные,2070-1403
Гуманитарные и юридические,2409-1030
Гуманитарные исследования,1818-4936
Гуманитарные исследования в,1997-2857
Гуманитарные исследования,2541-9056
Гуманитарные науки,2409-5591
Гуманитарные науки в Сибири,0869-8651
Гуманитарные науки и,2079-3499
Гуманитарные науки. Вестник,2226-7867
"Гуманитарные, социально-",2221-1373
Гуманитарный вектор,1996-7853
Гуманитарный вестник,2306-8477
Дайджест-Финансы,2073-8005
Дальневосточный аграрный,1999-6837
Дальневосточный медицинский,1994-5191
Датчики и системы / Sensors &,1992-7185
Два века русской классики/,2686-7494
Двигателестроение,0202-1633
Двойные технологии,1680-2780
Декоративное искусство и,1997-4663
Деловой журнал Neftegaz.RU,2410-3837
Демографическое обозрение,2409-2274
Деньги и кредит,0130-3090
Деревообрабатывающая,0011-9008
Детская хирургия,1560-9510
Детские болезни сердца и,1810-0686
Детские инфекции,2072-8107
Детские чтения,2304-5817
Дефектология,0130-3074
Диагностическая и,1993-5234
Диалог со временем. Альманах,2073-7564
Дидактика математики:,2079-9152
Дизайн и технологии,2076-4693
Дизайн. Материалы.,1990-8997
Динамика и виброакустика,2409-4579
Динамика сложных систем -,1999-7493
Дипломатическая служба,2075-4440
Дискурс,2412-8562
Дискурс-Пи,1817-9568
Дискуссия,2077-7639
Дифференциальные уравнения,1817-2172
Дневник Казанской,2308-2038
Доказательная,2305-2260
"Доказательная педагогика,",3034-2996
Доклады Академии наук,1727-2769
Доклады Башкирского,2587-6546
Доклады Национальной,2791-1489
Доклады Томского,1818-0442
Доктор.Ру,1727-2378
Дом Бурганова. Пространство,2071-6818
Достижения науки и техники,0235-2451
Достоевский и мировая,2619-0311
ДОШКОЛЬНИК. Методика и,2223-7003
Древняя Русь. Вопросы,2071-9574
Друкеровский вестник,2312-6469
Духовно-нравственное,2074-5001
Евразиатский,1684-4866
Евразийская адвокатура,2304-9839
Евразийская интеграция:,2073-2929
Евразийский кардиологический,2225-1685
Евразийский Союз: вопросы,2306-5702
Евразийский юридический,2073-4506
Ежегодник российского,1997-7549
Ежегодник финно-угорских,2311-0333
Ежеквартальный журнал,2713-2617
Естественно-гуманитарные,2309-4788
Естественные и технические,1684-2626
Жанры речи,2311-0740
Железнодорожный транспорт,0044-4448
Женское здоровье и,2712-8598
Женщина в российском,1992-2892
Живая психология,2413-6522
Животноводство и,2658-3135
Живые и биокосные системы,2308-9709
Жилищное строительство,0044-4472
Жилищное хозяйство и,2541-9110
Жилищные стратегии,2410-1621
"Журнал ""IВЕRОАМЕRIСА"" на",2075-9711
"Журнал ""АУДИТ""",2227-9288
Журнал ААИ,2073-9133
Журнал акушерства и женских,1684-0461
Журнал анатомии и,2225-7357
Журнал зарубежного,1991-3222
Журнал им. Н.В.,2223-9022
Журнал Института наследия /,2411-0582
Журнал инфектологии,2072-6732
Журнал исследований по,2500-3291
Журнал исследований,1727-0634
"Журнал исторических,",2522-4069
Журнал Конституционного,2072-4144
Журнал критики и,0042-8795
Журнал медико-биологических,2542-1298
Журнал «Мелиорация»,2070-4828
"Журнал микробиологии,",0372-9311
Журнал неврологии и,1997-7298
Журнал Новой экономической,2221-2264
Журнал Общества теории,2308-1333
Журнал педагогических,2500-3305
Журнал политических,2587-6295
Журнал правовых и,1995-1248
Журнал предпринимательского,2500-2899
Журнал прикладных,2712-7516
Журнал радиоэлектроники,1684-1719
Журнал российского права,1605-6590
Журнал Сердечная,1728-4651
Журнал Сибирского,1997-1389
Журнал Сибирского,1997-1370
Журнал Сибирского,1998-2836
Журнал социологии и,1029-8053
Журнал Средневолжского,2079-6900
Журнал Суда по,2313-4852
Журнал технической физики,0044-4642
Журнал теоретической и,0136-4545
Журнал Фронтирных,2500-0225
Журнал Экспериментальной и,0044-4510
Журналист. Социальные,2221-6073
Забайкальский медицинский,1998-6173
Заводская лаборатория.,1028-6861
Заготовительные производства,1684-1107
Закон,0869-4400
Закон и право,2073-3313
Законность,0869-4486
Законодательная и прикладная,2782-5418
Законодательство,1681-8695
"Законы России: опыт, анализ,",1992-8041
Записки Института истории,2310-6557
Защита и карантин растений,1026-8634
Защита информации. Инсайд,2413-3582
Защита окружающей среды в,2411-7013
"Здоровье, демография, экология",1994-8921
Здоровье населения и среда,2219-5238
Здравоохранение Дальнего,1728-1261
Здравоохранение Таджикистана,0514-2415
Земледелие,0044-3913
Землетрясения Северной,1818-6254
"Землеустройство, кадастр и",2074-7977
Зерновое хозяйство России,2079-8725
Знак: проблемное поле,2070-0695
Знание. Понимание. Умение,1998-9873
Зоотехния,0235-2478
Ибероамериканские тетради,2409-3416
Идеи и идеалы,2075-0862
Известия Национальной,2791-0717
Известия Академии наук,2076-2569
Известия Национальной,2791-2337
Известия Алтайского,1561-9443
Известия Алтайского отделения,2410-1192
Известия Байкальского,2500-2759
Известия Балтийской,2071-5331
Известия ВНИИГ им. Б.Е.,0368-0738
Известия Волгоградского,1815-9044
Известия Волгоградского,1990-5297
Известия Воронежского,2309-7078
Известия вузов. Инвестиции.,2227-2917
Известия вузов. Прикладная,2227-2925
Известия вузов. Физика,0021-3411
Известия вузов. Цветная,0021-3438
Известия высших учебных,2219-9373
Известия высших учебных,0016-7762
Известия высших учебных,1993-8985
Известия высших учебных,0536-1028
Известия высших учебных,0536-1036
Известия высших учебных,0021-3446
Известия высших учебных,1609-3577
Известия высших учебных,0536-1044
Известия высших учебных,0445-0108
Известия высших учебных,0579-3009
Известия высших учебных,2072-3024
Известия высших учебных,2307-9150
Известия высших учебных,2072-3032
Известия высших учебных,2072-3016
Известия высших учебных,2072-3059
Известия высших учебных,2072-3040
Известия высших учебных,0021-3454
Известия высших учебных,0869-6632
Известия высших учебных,2072-6775
Известия высших учебных,1998-9903
Известия высших учебных,0321-3005
Известия высших учебных,0321-3056
Известия высших учебных,0321-2653
Известия высших учебных,2218-1784
Известия высших учебных,1993-1824
Известия высших учебных,0536-1052
Известия высших учебных,0021-3489
Известия высших учебных,0021-3497
Известия высших учебных,0136-3360
Известия высших учебных,1561-5405
Известия высших учебных,0204-3327
Известия Горского,2070-1047
"Известия ГГТУ. Медицина,",2687-1521
Известия Дагестанского ГАУ,2686-7591
Известия Дагестанского,1995-0675
Известия Дагестанского,1995-0667
Известия Дагестанского,1995-0659
Известия Дальневосточного,2311-2271
Известия Института,2073-8110
Известия Иркутского,2073-3372
Известия Иркутского,2227-2380
Известия Иркутского,2222-9124
Известия Иркутского,2073-3402
Известия Иркутского,2073-3380
Известия Иркутского,2304-1226
Известия Кабардино-,2411-3492
Известия Кабардино-,2221-7789
Известия Кабардино-,1991-6639
Известия Калининградского,1997-3071
Известия Казанского,2073-1523
Известия Коми научного центра,1994-5655
Известия Лаборатории древних,2415-8739
"Известия МГТУ ""МАМИ""",2074-0530
Известия Международной,1994-7860
ИЗВЕСТИЯ Нижневолжского,2071-9485
Известия Оренбургского,2073-0853
Известия Российского,1992-6464
Известия Российской академии,1605-7880
Известия Российской академии,0002-3310
Известия Российской академии,2073-8498
Известия Российской Академии,2075-3608
Известия Российской Военно-,2713-2315
Известия Самарского научного,1990-5378
Известия Самарского научного,2658-4816
ИЗВЕСТИЯ САМАРСКОГО,2413-9645
Известия Самарской,1997-3225
Известия Санкт-,2078-1318
Известия Санкт-,1998-9849
Известия Санкт-,2311-3464
Известия Санкт-Петербургской,2079-4304
Известия Саратовского,2304-9790
Известия Саратовского,1819-4907
Известия Саратовского,1816-9791
Известия Саратовского,1819-7663
Известия Саратовского,1818-9601
Известия Саратовского,1817-3020
Известия Саратовского,1817-7115
Известия Саратовского,1816-9775
Известия Саратовского,1994-2540
Известия Саратовского,1819-7671
Известия сельскохозяйственной,2413-1946
Известия Смоленского,2072-9464
"Известия СПбГЭТУ ""ЛЭТИ""",2071-8985
Известия Томского,2500-1019
Известия Транссиба,2220-4245
Известия Тульского,2071-6141
Известия Тульского,2071-6176
Известия Тульского,2312-2374
Известия Тульского,2218-5194
Известия Тульского,2071-6168
Известия Тульского,2305-8404
Известия Тульского,2071-6184
Известия Уральского,2307-2091
Известия Уральского,2227-2275
Известия Уральского,2227-2283
Известия Уфимского научного,2222-8349
Известия Чеченского,2587-6074
Известия Юго-Западного,2223-1560
Известия Юго-Западного,2223-1501
Известия Юго-Западного,2223-1528
Известия Юго-Западного,2223-1536
Известия Юго-Западного,2223-1552
Известия Южного,1995-0640
Известия ЮФУ. Технические,1999-9429
Измерение. Мониторинг.,2307-5538
Изобразительное искусство,2713-2722
Имагология и,2409-9554
Иммунология,0206-4952
Имущественные отношения в,2072-4098
Индоевропейское языкознание,2306-9015
Индустриальная Экономика,2712-7559
Индустрия питания/Food,2500-1922
Инженерная геология,1993-5056
Инженерная физика,2072-9995
Инженер-нефтяник,2072-7232
Инженерно-строительный,3212-3702
Инженерные изыскания,1997-8650
Инженерные технологии и,2658-4123
Инженерный вестник Дона,2073-8633
Инженерный журнал: наука и,2308-6033
Инициативы XXI века,2073-4131
Инновации,2071-3010
ИННОВАЦИИ В ЖИЗНЬ,2227-6300
Инновации в менеджменте,2311-5319
Инновации в АПК: проблемы и,2311-9535
Инновации в образовании,1609-4646
Инновации и,2311-0651
Инновационная деятельность,2071-5226
Инновационная медицина,2541-9897
Инновационная наука:,2658-7165
Инновационная научная,2686-8970
Инновационная экономика:,2411-9520
Инновационная экономика и,2310-0710
Инновационное развитие,2304-2818
Инновационное развитие,2223-7984
Инновационные проекты и,2306-8310
Инновационные транспортные,2782-3733
Иностранные языки в высшей,2072-7607
Иностранные языки в школе,0130-6073
Институт психологии,2542-0852
Институт психологии,2541-8688
Институт Стоматологии,2073-6460
Интегративная физиология,2687-1270
Интеграция образования,1991-9468
Интеллект. Инновации.,2077-7175
Интеллектуальная,0201-7059
Интеллектуальная,0201-7067
Интеллектуальная,2658-6754
Интеллектуальные системы в,1813-7911
Интеллектуальные системы.,2411-4448
Интеллигенция и мир,1993-3959
Интеракция. Интервью.,2687-0401
Интернет-журнал «Отходы и,2500-0659
Интернет-журнал,2413-9807
Инфекции в хирургии,2220-2412
Инфекционные болезни,1729-9225
Инфекционные болезни:,2305-3496
Инфекция и иммунитет,2220-7619
Инфокоммуникационные и,2587-9936
Инфокоммуникационные,2073-3909
Информатика и автоматизация,2713-3192
Информатизация в цифровой,2712-9306
Информатизация и связь,2078-8320
Информатизация образования и,2073-7572
Информатика в школе,2221-1993
Информатика и ее применения,1992-2264
Информатика и образование,0234-0453
Информатика и системы,1814-2400
"Информатика,",2687-0517
Информационное общество,1606-1330
Информационно-,2070-0814
Информационно-,2409-1650
Информационно-управляющие,1684-8853
Информационно-,2311-1348
Информационные войны,1996-4544
Информационные и,2413-0133
Информационные и,2218-5070
Информационные ресурсы,0204-3653
Информационные системы и,2072-8964
Информационные технологии,1684-6400
Информационные технологии в,2073-2597
Информационные технологии в,2686-7362
Информационные технологии и,2071-8632
Информация и безопасность,1682-7813
Информация и Космос,2072-9804
Ипатьевский вестник,2309-5164
Иппология и ветеринария,2225-1537
Искусственные общества,2077-5180
Искусственный интеллект и,2071-8594
Искусство Евразии,2518-7767
Искусство и образование,2072-0432
Искусство музыки: теория и,2307-5015
Искусство правоведения.,2949-1088
Искусствоведение,2949-3277
Ислам в современном мире:,2074-1529
Исламоведение,2077-8155
Исследование проблем,2782-6414
Использование и охрана,2222-5633
Исследования водных,2072-8212
Историко-биологические,2076-8176
Историко-географический,2782-6511
Историко-правовые проблемы:,2309-1592
Историко-экономические,2308-2488
Историческая информатика,2585-7797
ИСТОРИЧЕСКАЯ,2409-6105
Исторические записки,0130-6685
Исторический архив,0869-6322
Исторический бюллетень,2658-5685
Исторический вестник,2306-4978
Исторический журнал: научные,2454-0609
Исторический курьер,2618-9100
Исторический поиск / Historical,2712-9454
История государства и права,1812-3805
История и педагогика,2226-2296
История и архивы,2658-6541
ИСТОРИЯ И СОВРЕМЕННОЕ,2658-4654
История. Культурология.,3034-3364
История медицины,2311-6919
История повседневности,2542-2375
История философии / History of,2074-5869
История: Факты и Символы,2410-4205
Кадровик,2074-0107
Казанская наука,2078-9955
Казанский лингвистический,2658-3321
Казанский медицинский,0368-4814
Казанский социально-,2079-5912
Казанский экономический,2305-4212
Кантовский сборник,0207-6918
Карантин растений. Наука и,2306-9767
Кардиоваскулярная терапия и,1728-8800
Кардиологический вестник -,2077-6764
Кардиология и сердечно-,1996-6385
"Кардиология: новости, мнения,",2309-1908
Картофель и овощи,0022-9148
Катарактальная и,2413-0338
Каучук и резина,0022-9466
Кафедра травматологии и,2226-2016
Качественная Клиническая,2588-0519
Качество и жизнь,2312-5209
Квантовая электроника,0368-7147
Клеточная терапия и,1866-8836
Клиницист,1818-8338
Клиническая геронтология,1607-2499
Клиническая дерматология и,1997-2849
Клиническая и специальная,2304-0394
Клиническая и,2226-5988
Клиническая и,1995-5472
Клиническая и,2308-1198
Клиническая лабораторная,0869-2084
Клиническая медицина,0023-2149
Клиническая микробиология и,1684-4386
Клиническая нефрология,2075-3594
Клиническая онкогематология.,1997-6933
Клиническая практика,2220-3095
Клиническая фармакология и,0869-5490
Клиническая физиология,1814-6910
Клинический вестник ФГБУ,2782-6430
Клинический разбор в общей,2713-2552
Клио,2070-9773
Когнитивные исследования,2071-9639
Коллекция гуманитарных,2500-3585
Колопроктология,2073-7556
Коммуникативные,2413-6162
Коммуникология,2311-3065
Компетентность,1993-8780
Комплексные проблемы,2306-1278
Компрессорная техника и,2413-3035
Компьютерные инструменты в,2071-2340
Компьютерные исследования и,2076-7633
Коневодство и конный спорт,0023-3285
Конкурентное право,2225-8302
Конституционное и,1812-3767
Конструкции из,2073-2589
Консультативная психология и,2075-3470
Контекст и рефлексия:,2223-5485
Контроллинг,1998-6157
Контроль. Диагностика,0201-7032
Контроль качества продукции,2541-9900
Контуры глобальных,2542-0240
Конфликтология,1818-1198
Конфликтология / nota bene,2454-0617
Копирайт (вестник Академии,2307-2741
"Концепт: философия, религия,",2541-8831
Кормление,2075-1524
Кормопроизводство,1562-0417
Корпоративное управление и,2070-4992
Корпоративные финансы,2073-0438
Космическая техника и,2308-7625
Космические аппараты и,2618-7957
Космонавтика и ракетостроение,1994-3210
Костюмология,2587-8026
Краткие сообщения Института,0130-2620
Креативная кардиология,1997-3187
Креативная хирургия и,2076-3093
Креативная экономика,1994-6929
Крестьяноведение,2500-1809
КриминалистЪ,2686-7753
"Криминалистика: вчера,",2587-9820
Криминологический журнал,2687-0185
Кролиководство и звероводство,0023-4885
Крымский журнал,2224-6444
Крымский терапевтический,2307-5236
Кубанский научный,1608-6228
Кузнечно-штамповочное,0234-8241
Культура и безопасность,2712-8997
Культура и искусство,2222-1956
Культура и образование:,2310-1679
Культура и текст,2305-4077
Культура и цивилизация,2223-5426
Культура Мира,2949-2521
Культура физическая и,1999-3455
"Культура: управление,",2070-2159
Культурное наследие России,2308-2062
Культурно-историческая,1816-5435
Культурный код,2658-3852
Кунсткамера,2618-8619
Курортная медицина,2304-0343
Культурологический журнал /,2222-2480
Лабораторная и клиническая,2712-9330
Лабораторная служба,2305-2198
Лазерная медицина,2071-8004
Лакокрасочные материалы и их,0130-9013
Латиноамериканский,2713-0282
Ленинградский юридический,1813-6230
Леса России и хозяйство в них,2218-7545
Лесной вестник / Forestry,2542-1468
Лесоведение,0024-1148
Лесотехнический журнал,2222-7962
Лесохозяйственная информация,2304-3083
Летняя школа по русской,2307-5945
Лечащий врач,1560-5175
Лечебная физкультура и,2072-4136
Лечебное дело,2071-5315
Лечение и профилактика,2225-4064
Лизинг,2074-8035
Лидерство и менеджмент,2410-1664
Лингвистика и образование,2712-9519
Литейщик России,1684-1085
Литература в школе / Literature,0130-3414
Литература двух Америк,2541-7894
Литературный факт,2541-8297
Литературоведческий журнал,2073-5561
Литосфера,1681-9004
Личность в меняющемся мире:,2307-9886
ЛОББИРОВАНИЕ В,2782-7372
Логистика,2219-7222
Логистика и управление цепями,1727-6349
Логос,0869-5377
"Локус: люди, общество,",2219-3987
Лучевая диагностика и терапия,2079-5343
Магарач. Виноградарство и,2309-9305
Мануальная терапия,1684-6753
Манускрипт,2949-3242
Манускрипт,2618-9690
Маркетинг в России и за,1028-5849
Маркетинг и маркетинговые,2074-5095
Маркшейдерия и,2079-3332
Маркшейдерский вестник,2073-0098
Математика в школе,0130-9358
Математика и математическое моделирование,2412-5911
Математические вопросы,2220-2617
Математические заметки СВФУ,2411-9326
Математическое,2309-3684
Математическая физика и,2587-6325
Машиностроение и инженерное,1815-1051
Медиалингвистика,2312-0274
Меди@льманах,1992-4631
Медиаскоп,2074-8051
Медико-биологические и,1995-4441
Медико-социальная экспертиза,1560-9537
Медицина,2308-9113
Медицина в Кузбассе,2687-0053
Медицина и высокие,2306-3645
Медицина катастроф,2070-1004
МЕДИЦИНА. СОЦИОЛОГИЯ.,2686-9365
Медицина труда и,1026-9428
Медицина труда и экология,2411-3794
Медицина экстремальных,2306-6326
Медицинская визуализация,1607-0763
Медицинская генетика,2073-7998
Медицинская иммунология,1563-0625
Медицинская наука и,1814-8999
Медицинская паразитология и,0025-8326
Медицинская радиология и,1024-6177
Медицинские технологии.,2219-0678
Медицинский академический,1608-4101
Медицинский алфавит,2078-5631
Медицинский альманах,1997-7689
Медицинский альянс,2307-6348
Медицинский вестник,1999-6202
Медицинский вестник ГВКГ,2782-1730
Медицинский вестник МВД,2073-8080
Медицинский вестник,2791-0687
Медицинский вестник Юга,2219-8075
Медицинский оппонент,2619-0001
Медицинское образование и,2220-8453
Медлайн.Ру,1999-6314
Междисциплинарный научно-,0514-7468
Международная аналитика,2587-8476
Международная жизнь,0130-9625
Международная торговля и,2410-7395
Международная экономика,2074-6040
Международное аналитическое,1998-1295
Международное право,2306-9899
Международное право и,2226-6305
Международное правосудие,2226-2059
Международное публичное и,1812-3910
Международное уголовное,2071-1190
Международные отношения,2454-0641
Международные процессы.,1728-2756
Международный аспирантский,2074-1154
Международный бухгалтерский,2073-5081
Международный вестник,2072-2419
Международный журнал,0869-4435
Международный журнал,2079-1100
Международный журнал сердца,2311-1623
Международный журнал по,1562-3629
Международный,2312-1327
Международный научно-,2687-1084
Международный научно-,2500-2325
Международный научно-,2411-5703
Международный научно-,2411-8966
Международный научно-,2618-8198
Международный научно-,2500-1833
Международный научный,2782-3849
Международный научный,1995-4638
Международный правовой,2413-3140
Международный правовой,2311-4525
Международный,2413-7383
Международный,2587-6740
Международный технический,2949-4176
Международный электронный,1998-4839
Международный электронный,2618-7035
Мелиорация и водное,0235-2524
Мелиорация и,2712-9357
Менеджер здравоохранения,1811-0185
Менеджмент в России и за,1028-5857
Менеджмент и бизнес-,2075-1826
Менеджмент качества в,2658-5898
Местное право,2075-1788
Металлические конструкции,1993-3517
Металловедение и термическая,0026-0819
Металлообработка,1684-6702
Метаморфозы истории,2414-3677
Метафизика,2224-7580
Механика композиционных,1029-6670
"Механика машин, механизмов и",1995-0470
"Мехатроника, автоматизация,",1684-6427
Миграционное право,2071-1182
Микроэкономика,1817-1591
Микроэлементы в медицине,1607-9957
Микроэлектроника,0544-1269
МИР (Модернизация.,2079-4665
Мир измерений,1813-8667
Мир лингвистики и,1999-8406
"Мир науки, культуры,",1991-5497
Мир науки. Педагогика и,2658-6282
Мир нефтепродуктов,2782-3040
Мир новой экономики,2220-6469
Мир образования – образование,2073-8536
Мир перемен,2073-3038
Мир психологии,2073-8528
Мир русского слова,1811-1629
Мир русскоговорящих стран,2658-7866
"Мир науки. Социология,",2542-0577
Мир техники кино,1991-3400
Мир транспорта,1992-3252
Мир транспорта и,2073-7432
Мир экономики и управления,2542-0429
Мировая политика,2409-8671
Мировая экономика и,0131-2227
Мировая экономика и мировые,2949-6454
Мировое и национальное,2713-0983
Мировой судья,2072-4152
Миссия конфессий,2499-9423
"Модели, системы, сети в",2227-8486
Моделирование и анализ,2219-3758
Моделирование и анализ,2313-5417
Моделирование систем и,2219-0767
"Молекулярная генетика,",0208-0613
Молекулярная медицина,1728-2918
Молочное и мясное,0026-9034
Молочная промышленность,1019-8946
Молочнохозяйственный,2225-4269
Монголоведение (Монгол,2500-1523
Мониторинг общественного,2219-5467
Мониторинг правоприменения,2226-0692
МОНИТОРИНГ. Наука и,2076-7358
Морская медицина,2413-5747
Морская радиоэлектроника,2220-8712
МОРСКИЕ,2073-7173
Морской биологический,2499-9768
Морской вестник / Morskoy,1812-3694
Морской гидрофизический,0233-7584
Морской сборник,0134-9236
Морфологические ведомости,1812-3171
Морфология,1026-3543
Московский журнал,0869-0049
Московский педагогический,2949-4990
Московский хирургический,2072-3180
Московский юридический,2949-5091
Муаррих,2709-7382
Музыка в системе культуры:,2658-7858
Музыка и время,2072-9960
"Музыка. Искусство, наука,",2226-3330
Музыкальная академия,0869-4516
Музыкальное искусство,2782-1773
Музыкальное искусство и,2309-1428
Музыкальный журнал,2413-0486
Музыковедение,2072-9979
Муниципалитет: экономика и,2304-3385
Муниципальная служба:,2072-4314
Муниципальное имущество:,2500-0349
Муниципальное образование:,2306-8329
Мясная индустрия,2618-8252
Навигация и гидрография,2220-0983
Навигация и управление,2618-7868
Надежность,1729-2646
Надежность и качество,2307-4205
Налоги,1999-4796
Налоги и налогообложение,1812-8688
Налоговая политика и практика,2071-5250
Налоговед,1810-1984
Нано и микросистемная,1813-8586
НАНОИНДУСТРИЯ,1993-8578
Наноматериалы и,2225-0999
"Наносистемы: физика, химия,",2220-8054
Наноструктуры.,2224-8412
"Нанотехнологии: разработка,",2225-0980
Наркоконтроль,2072-4160
Наркология,1682-8313
Народное образование,0130-6928
Народонаселение,1561-7785
Народы и религии Евразии,2542-2332
На страже экономики,2588-0071
Наследие веков,2412-9798
Наследие и современность,2619-0214
Наследственное право,2072-4179
Наука в центральной России,2305-2538
Наука и бизнес: пути развития,2221-5182
Наука и инновации в медицине,2500-1388
Наука и искусство управления /,2782-2222
Наука и спорт: современные,2308-8826
Наука и техника в газовой,2070-6820
Наука и техника в дорожной,1993-8543
Наука и техника транспорта,2074-9325
Наука и технологии,2221-2701
Наука Красноярья,2070-7568
Наука. Культура. Общество,2713-0681
Наука молодых (Erudition,2311-3820
Наука. Образование.,2658-7335
Наука. Общество. Оборона,2311-1763
Наука о человеке:,1998-5320
Наука Юга России,2500-0640
Наука. Инновации. Технологии,2308-4758
Наука. Искусство. Культура,2305-5499
Науки о Земле и,2686-9993
Наукоемкие технологии,1999-8465
Наукоемкие технологии в,2409-5419
Наукоемкие технологии в,2223-4608
Научная жизнь,1991-9476
